Input,Output,Label
"As someone who has been coming to this restaurant for the past couple of decades, I can confidently say that it is one of the best places to enjoy authentic French cuisine. The food here is simply fantastic, and the sweetbreads are a particular favorite of mine - something that's not always easy to come by in other restaurants.

One thing that sets this restaurant apart is the consistency of its service. Over the years, I've come to recognize many of the staff, and it's always a pleasure to see the same friendly faces whenever I return. The fact that they are able to retain their staff speaks volumes about the quality of the restaurant and the work environment they provide.

Overall, I would highly recommend this restaurant to anyone looking for an authentic French dining experience. The food is top-notch, the service is impeccable, and the atmosphere is always welcoming and inviting. I look forward to many more years of dining at this wonderful establishment. And did I mention that their price is very reasonable given the quality of their food and service!","Best authentic French cuisine. Fantastic food, especially the sweetbreads. Consistent, friendly service from familiar staff. Welcoming atmosphere. Highly recommend for a great dining experience. Reasonable prices for top-notch quality.",1
"Excellent French dining in a nice neighbourhood and with reasonable prices for a fine dining establishment. We were seated in the basement area, which was cozy, not too damp and not too dark. We had a three-course dinner and all of the dishes tasted excellent, and the portions were good. Some of the waitresses here do speak French, which lends authenticity to the restaurant. The service was excellent – our waitress, whose name I forgot, was a lovely person who gave recommendations, was attentive and cheerful, and could be talkative when needed but also knew when to leave us alone. A pleasant experience overall!","Excellent French dining. Cozy basement vibe. Reasonable prices for fine dining. Great three-course dinner with good portions. Authentic feel with French-speaking staff. Excellent service – attentive and cheerful waitress. Overall, a pleasant experience!",1
"I absolutely adore this place. The staff are so wonderful and enthusiastic. The atmosphere is chill and classy. The food is beautiful and the wine, even better. I always highly recommend this place to friends and family because it just ticks every box. The staff are always so professional and deserve high praise, handsome tips, and a good chat. Well done La Paradis for being the best French cuisine in town.",Adore this place. Chill and classy vibe. Wonderful and professional staff. Beautiful food and excellent wine. Highly recommend for great French cuisine.,1
"Unassuming spot with absolutely delicious French cuisine at reasonable prices! The vibe, decoration, and waiters talking French definitely add more authenticity to this place — it is almost like you are not in Toronto the moment you stepped inside! Everything was delicious, homemade style and still delicious, and we devoured everything. Btw, I loved they served bread slice by slice so it is always warm! Was especially impressed by the snail, very interesting presentation and the snail was the most tender that I have ever had, and the garlic butter is sooo fragrant that you don’t want to waste them either. There were already quite a few customers at 6 on Sunday and I wouldn’t be surprised that this place has a lot of regulars. Would love to come back to sample other dishes","Delicious French cuisine at great prices. Authentic vibe with French-speaking waiters. Loved the warm, slice-by-slice bread. Impressive tender snails with fragrant garlic butter. Busy spot with many regulars. Can't wait to come back!",1
"I love French food but this place was like mid to me. I came here with my family. You can find free parking close by. Waiting area was kind of cramped especially with multiple groups waiting for a table. I ate the auvergnate, some charcuterie, and jarret d’agneau maghrebin. Service was good. The auvergnate was just a salad with arugula, walnuts, blue cheese, and apples. It was okay, nothing exciting. The jarret d’agneau maghrebin was braised lamb shank with vegetable tajine, dried fruit, and couscous. Lamb shank was very tender and easily fell off the bone. It was seasoned and well balanced. The couscous on the other hand was way too salty, I didn’t even finish my plate. Portion size was sufficient. We also had 3 scoops of sorbet. We had melon, kiwi, and lemon. Lemon was very sour so make sure you eat it with the melon to balance out the sourness. Overall it’s a 3 for me.","Mid experience. Good service. Cramped waiting area. Enjoyed the tender lamb shank with balanced seasoning, but the couscous was too salty. Salad was just okay. Sorbet flavors were mixed; lemon was too sour alone. Free parking nearby. Would rate 3/5.",0
DANGEROUS FOR YOUR WAIST LINE (you have been warned). The meringue dessert was outstanding!!! The baked buns were also really good. I thought the Waffles were ok. Very warm atmosphere with great service. Cannot wait to go back for more meringue dessert.,Outstanding meringue dessert! Baked buns were really good. Waffles were just okay. Warm atmosphere and great service. Can't wait to return!,1
"Great bakery serving meringues and also great options of bread, coffee , shakes etc. love the smell inside the cafe.... It has a nice seating space as well... The meringues are to die for. So fresh and soft. I loved the cherry, hazelnut, chocolate ones... The chocolate brioche buns was also fine...not as fresh baked... A little pricey but worth it.","Great bakery vibe. Love the smell. Nice seating space. Meringues are amazing—fresh and soft, especially the cherry, hazelnut, and chocolate ones. Chocolate brioche buns were okay, not as fresh. A bit pricey but worth it.",1
"We stumbled into Aux Merveilleux after seeing the chocolate chip bread in the window display, and I'm so glad we did! We ended up coming back again the next day (and pondered how we might be able to bring meringues on the plane).

The chocolate meringue (not sure of the official name) was incredible. I've never had a dessert like it, and I don't fully understand what it's composed of, but it is perfection. Crunchy, creamy, light, and chocolatey.

I also loved the pain au chocolat, and ended up ordering it again the next day. There's a window in the back where you can watch bakers laminate dough and assembly croissants, so after watching that for a bit, I knew I had to try the croissants. The croissant was crisp, beautifully layered, and the chocolate was still a bit melty. Perfection!

We also tried some of the breads, which I didn't like as much. I thought the bread in both the chocolate chip bread and the chicken guacamole bread was a bit dry.
Cute cafe. I enjoyed the mocha and a croissant. Loved the dark chocolate pastry as well. Would go back for more. Wish they had more seating capacity or space to manage people coming in to order.
Lovely place, was fairly busy both times we went. I'd love to return!","Stumbled upon a gem. Incredible chocolate meringue—crunchy, creamy, and light. Loved the pain au chocolat and croissants—crispy and melty. Cute cafe with great mocha. Breads were a bit dry. Busy but worth it. Wish for more seating. Would definitely return!",1
Cute cafe. I enjoyed the mocha and a croissant. Loved the dark chocolate pastry as well. Would go back for more. Wish they had more seating capacity or space to manage people coming in to order.,Cute cafe. Enjoyed the mocha and croissant. Loved the dark chocolate pastry. Would go back for more. Needs more seating.,1
"I've been walking past this place since they opened a few years ago and I finally decided to try some of their pastries. Unfortunately it was hugely underwhelming. The croissant seemed like it had been sitting for hours and the lamination/butter flavour was not the best. It reminded me of Costco croissants...
It's often very busy and there's no room for sitting. The cashier was very quick and not the most friendly. I also tried their chocolate chip brioche and bread pudding.

The bread pudding was not for me but I found the brioche to be nicely fluffy and fresh.","Underwhelming pastries. Croissant felt old, lacking butter flavor. Brioche was fluffy and fresh. Bread pudding wasn't great. Busy place with no seating. Quick but unfriendly service.",1
"Amazing!
Amazing views from the 54th floor of the TD building with panoramic views over the Toronto waterfront. We picked a sunny day during sunset, but this was a bonus! The seasonal menu of local produce was concise but offered a delight for most - all, I would suggest! All our dishes were well prepared, presented and, most importantly tasted sublime. Staff were spot on, knowledgeable & welcoming. Highly recommended from these happy diners!",Stunning views from the 54th floor! Seasonal menu with local produce was delightful. Dishes were well prepared and tasted sublime. Knowledgeable and welcoming staff. Highly recommend!,1
"This is a restaurant where the main selling point is the view and the decor. Located on the 54th floor, you get a stunning view of Toronto. You see the TD tower and the CN tower clearly. The view gets even better after dark. This makes it a great place for business functions and if you are looking to impress guests.

The service was also great. Staff was polite, attentive, and took the time to explain each dish.

The food is pretty good. I had better elsewhere, and it is extremely expensive. Not just the price itself, but they give you a much smaller portion than you might expect.

Overall it was a good experience if you know what to expect. Being a big eater, I had to get Chick-fil-A after to feel satiated.","Stunning view from the 54th floor, especially after dark. Great decor. Polite and attentive service. Food is good but overpriced with small portions. Good experience if you know what to expect. Needed extra food afterward.",1
"My husband planned a wonderful surprise for our 25th anniversary by taking us to Canoe. The dining experience there is truly exceptional, with a great atmosphere and fantastic vibes. The breathtaking view of the Toronto skyline from the 54th floor was absolutely stunning and remarkable. The customer service was top-notch, with knowledgeable, attentive staff who were genuinely passionate about the food.

The food itself was spectacular, not only in taste but also in beautiful presentation. The wine and bourbon options were equally wonderful, offering a wide range to choose from.

As an added bonus, they provide a complimentary parking voucher for the nearby parking garage in the TD tower.

The elegant ambiance and meticulous attention to detail at Canoe truly elevate every visit to make it a memorable experience. I highly recommend it for anyone looking to celebrate a special occasion or enjoy a sophisticated night out in Toronto.","Exceptional dining experience for our 25th anniversary. Stunning Toronto skyline view from 54th floor. Top-notch, passionate service. Spectacular food with beautiful presentation. Great wine and bourbon selection. Complimentary parking voucher is a nice touch. Elegant ambiance makes it memorable. Highly recommend for special occasions!",1
"I’m here to share my experience dining in the Canoe restaurant. As my wife has a birthday, I have been booking a table a week ahead. Honestly, it was a long-time idea to visit the restaurant. But I just wanted to make an occasion more appropriate.
Alright, about the Atmosphere: the view and interior are 5/5, and the location and vibe are good.
Service: 5/5 Yes, the waiter was amiable and kind, always trying to do their job well.
Food: 4.5/5. Yeah, it’s just 4.5, and I will tell you why. The food looks excellent, and all elements and textures are high-level, but taste was missing in dishes with protein. Maybe I need to order squab or rabbit for better taste.
Dining time: 2 hours
Dishes: 3 starters, two mains, two desserts
Drinks: 2 cocktails
Bill: $390 before tips, and $450 after tips.

So yeah, if you consider it in this place, be ready to spend.","Great atmosphere with a stunning view. Friendly service, 5/5. Food was high-quality but lacking taste in protein dishes, rated 4.5/5. Had 3 starters, 2 mains, and 2 desserts. Dining took 2 hours. Total bill was $450. Be prepared to spend.",1
"The atmosphere and service was incredible. The view was also remarkable. I went to celebrate my anniversary today and our waiter was absolutely incredible. The two critiques I have of the place are mostly in regard to the food. It unfortunately didn’t meet the expectations that would’ve been warranted by an $80 dish. The flavors were often bland and were missing seasoning - especially the lamb dish. The other little pet peeve I had was that I wasn’t informed about the cost of the water - I understand the demographic of customers is high end and money is not an issue, but it would’ve been nice to know that the small bottle of sparkling water was the price of a beer!","Incredible atmosphere and service. Remarkable view. Celebrated anniversary with an amazing waiter. Food was disappointing for the price; flavors were bland, especially the lamb. Also, didn't appreciate not being informed about the water cost. Overall, a mixed experience.",1
"I'm glad that I tried this Thai restaurant.
Foods were tasty more than I expected.
The server was very quick to respond and friendly despite of busy hours. The interior of the place is beautiful. I'll definitely recommend this place.",Glad I tried this Thai restaurant. Tasty food exceeded my expectations. Quick and friendly service even during busy hours. Beautiful interior. Definitely recommend!,1
"The thai food here was very good. The pad kee mao and the spicy green curry were phenomenal. The pad Thai was more on the sour sweet flavors and could handle more spiciness. I recommend getting a side of crushed peanuts with the Pad kee mao. It’s a very casual seating area with a nice corner view of cabbage town. This place has good vegetarian options, but does not have Halal meat.","Very good Thai food. Phenomenal Pad Kee Mao and spicy green curry. Pad Thai was too sour-sweet, needs more spice. Nice casual vibe with a corner view. Good vegetarian options but no Halal meat.",1
"As my friend’s recommendation, me and my sister gave it a try at this spot. We were so excited but the food is not that flavorful. We ordered Tom yum soup with shrimp, the soup was so fishy. We also order the clams and Crispy pork belly. The pork belly was highlight of this dinner only.
Service is not that friendly. We still tipped as normal cause we all know how hard the job was. But only after we paid, server gave us good attitude. Overall, the experience was just at acceptable level, nothing is special. I don’t think we will come back.","Tried it based on a friend's recommendation. Disappointed with the food; Tom yum soup was too fishy. Crispy pork belly was the only highlight. Service was unfriendly until after we paid. Overall, just an acceptable experience. Don't think we'll return.",1
"I recently went to Maya Bay Thai and had a great time! I didn't order any food but had a Thai iced tea (lemon) and it was delicious (sweet , you cant skip the sugar)
My friends had already ordered food before I got there, and they really enjoyed it.
They also have a cool deal—10% off if you pay cash, but it has to be one bill.
The vibe was nice, and the staff were friendly.
Definitely looking forward to trying the food next time!",Great vibe. Friendly staff. Loved the sweet Thai iced tea with lemon. Friends enjoyed their food. Cool 10% off for cash payments. Can't wait to try the food next time!,1
"We order many dishes because influences recommend many of them, we choose the most popular dishes, but toooooo salty🥲waiters are kind and helpful, we finally got discount ",Popular dishes too salty. Kind and helpful waitstaff. Got a discount.,1
"Service was great! I ordered the Gyu Gyu King Curry and the portion was great. The curry flavour was a new flavour/ taste that I have tried. It’s very brown and traditional. I would say it’s a bit different from other traditional curry from Japan. Nonetheless, the food was great and portion was good!","Great service! Enjoyed the Gyu Gyu King Curry. Unique traditional flavor, different from typical Japanese curry. Good portion size. Food was excellent!",1
Came here after seeing the hype online and it did not disappoint! The curry was great!  Everything was very fresh and the chicken was good to perfection. Laid back atmosphere but very good quick service!! Its not a lot to say other than you gotta come here and at least try the japanese curry!!,Great hype! Delicious Japanese curry. Fresh ingredients and perfectly cooked chicken. Laid back vibe with quick service. Must try!,1
"The Ton Katsu Curry was delicious. It was the perfect ratio of pork to rice with a good amount of curry alongside an egg and lettuce. The portions are very good.

The staff are also very friendly and the restaurant is well-kept. Would definitely come back in the future for a good eat.","Delicious Ton Katsu Curry. Perfect pork-to-rice ratio with good curry, egg, and lettuce. Great portions. Friendly staff. Well-kept restaurant. Will definitely come back.",1
"Been here since 2013, the curry has changed flavour a little bit since then but it is very comforting.
The servers are great and on top of things. Super friendly.
This is a nice lunch place or some quick dinner if you want a solid Japanese rice meals.",Comforting curry. Friendly and attentive servers. Great for lunch or quick dinner. Solid Japanese rice meals.,1
I like the interior decor and the ambiance. I also think their service is good. But the food isn’t as delicious as I thought.,Great interior decor and ambiance. Good service. Food wasn't as delicious as expected.,1
"Great experience at this grill restaurant! The food was flavorful, with perfectly grilled meats and tasty sides that paired well. The atmosphere was cozy and inviting, and the staff was friendly and attentive. It’s a solid choice if you’re in the mood for a satisfying grilled meal. Only a small wait for our food, but overall a really enjoyable spot. Would definitely come back!",Great experience! Cozy atmosphere. Flavorful grilled meats and tasty sides. Friendly and attentive staff. Small wait for food. Definitely coming back!,1
Nice service and staff. Good variety of beef and marinated well. Pumpkin soup is seasonal and is really good. Seafood is not that good to be honest but you cannot expect high at such place. Overall a nice spot to hang out with friends.,"Nice service and friendly staff. Good variety of well-marinated beef. Seasonal pumpkin soup is really good. Seafood could be better. Overall, a nice spot to hang out with friends.",1
"One of my all time favourite Japanese grill to go, every location I've been to has been clean and welcoming. Atmosphere was lively and the service is quick and orderly. The meat is tender and the cuts fine. Price is fair. Great location.",One of my favorite Japanese grills. Clean and welcoming. Lively atmosphere. Quick and orderly service. Tender meat with fine cuts. Fair prices. Great location.,1
"For 2 hours, you get to eat everything on the menu! What?! What?! It was delicious! I really enjoyed the soy marinated anything. The chicken thighs were great. The ajillo has an amazing spicy kick. The sauce in the table changed the game of each bite. I highly recommend for the value and taste!",All-you-can-eat for 2 hours! Delicious food. Loved the soy marinated dishes. Great chicken thighs. Ajillo had a fantastic spicy kick. The table sauce elevated every bite. Highly recommend for value and taste!,1
"I had a very frustrating experience at Gyubee due to misleading wait times. We arrived at the restaurant at 6:20 PM and were told it would be about a 60-minute wait. However, after waiting for 2 hours, we were informed we'd need to wait another 20 minutes. While checking the Yelp reservation line, I found out there were still 17 tables ahead of us.
Frustrated, I decided to leave briefly to get cash from an ATM just 5 minutes away. In the span of 2 minutes, I received notifications saying my table was ready and then that I had been removed from the waitlist! I hurried back to the restaurant within 5 minutes and asked why I was removed, only to be told I'd have to wait even longer.
To make matters worse, the front desk staff was very impatient and dismissive the entire time. Their attitude added to an already frustrating experience, making the situation feel even more unwelcoming. We wasted so much time, and I would hesitate to return. If you're planning to visit, be prepared for potential delays and confusion with the waitlist process.","Frustrating experience. Misleading wait times—told 60 min, waited 2 hours, then 20 more. Staff was impatient and dismissive. Felt unwelcoming. Wasted time; hesitant to return. Be ready for delays and confusion with the waitlist.",1
This was my first time trying soft shell crab and it was SO delicious. We loved everything we ordered that day and I'm still thinking about the refreshing pandan cloud drink. Can't wait to go back!!,First time trying soft shell crab and it was delicious. Loved everything we ordered. Refreshing pandan cloud drink was a highlight. Can't wait to go back!,1
"The food is extremely delicious. I not only fall in love with the nice and lovely design of restaurant, but also the fantastic service from servers. Highly recommend for people who love Vietnamese food ",Delicious food. Beautiful restaurant design. Fantastic service. Highly recommend for Vietnamese food lovers.,1
Food was well prepared and tasty. Disappointed that the flan dessert for the Taste of Vietnam set course was served in what looked like a takeout box (even though we were dining in). It’s underwhelming and takes away from the dining experience when they have pretty pictures of food on their Instagram/menus and then the actual presentation doesn’t look anything like it and comes in a takeaway box.,"Tasty food, but flan served in a takeout box was disappointing. Presentation didn’t match the pretty pictures. Underwhelming experience.",1
Definitely one of my go to places to eat on campus. The portion sizes are big and can be pretty affordable if you go with a friend and get the two pho bowl special. Definitely worth checking out if you’re a UofT student on campus constantly looking for food to eat.,Go-to spot on campus. Big portions. Affordable two pho bowl special with a friend. Worth checking out for UofT students.,1
"I rarely leave reviews, but the Grilled Chicken + Pork Chop here absolutely deserved it. I have tried similar dishes at various Vietnamese restaurants and this is definitely the top on my list. The Coconut Pandan Latte was also very tasteful and had a perfect level of sweetness.","Rarely leave reviews, but the Grilled Chicken and Pork Chop are top-notch! Best I've had at a Vietnamese restaurant. The Coconut Pandan Latte was also tasty with perfect sweetness.",1
Stopped by here for a quick lunch and was able to get a decent pasta dish with time to spare. Service is attentive. Food was fair. I’d recommend for others looking for a place to have a meal in the area specially on a quick work break where you want to try more than the food court options nearby.,Decent pasta for a quick lunch. Attentive service. Fair food overall. Recommended for a work break instead of food court options.,1
Nice atmosphere and great customer service! Their menus is diverse and portions are not bad. Location is busy during work week and business hours. Not recommended  for drivers as parking could be challenging. Recommended for office lunches and teams gathering,Nice atmosphere. Great customer service. Diverse menu with decent portions. Busy location during work week. Not great for drivers due to parking issues. Good for office lunches and team gatherings.,1
"Today was my first time visiting, and I love this place. The food was great, the server was very kind and I liked the atmosphere the most.
It was a hot day, but the spacious outdoor patio area with the shades and big trees was very cool :)",First visit and I love this place. Great food. Kind server. Cool outdoor patio with shade and big trees. Nice atmosphere.,1
"Wonderful dinner experience. Our server Damian was knowledgeable and prompt. We had a time crunch and he enabled appetizer, dinner and dessert in less than 50 minutes. Outstanding food.","Wonderful dinner experience. Knowledgeable and prompt server, Damian. Quick service—appetizer, dinner, and dessert in under 50 minutes. Outstanding food!",1
"We came to Mercatto for a graduation dinner and didn't have the best experience. I wanted to love it but the mains took a long time to arrive, and were only warm when we got them. Some of our party members said their food tasted like it was a day old and it was microwaved. I ordered the sweetened iced tea and lemonade, and it tasted like water with mint. The highlights were the appetizers that we got. The calamari breading was crispy and seasoned well. The fries with truffle crema were great. The service was not good though. Our server didn't ask us how we were doing once the entire meal, or ask if we wanted refills. We had to call him over to order dessert because he didn't come back to the table after we asked for the dessert menus. I saw another patron walk up to him to ask him to attend to their table because he was also ignoring them. I wouldn't go back or recommend this location to anyone.","Disappointing experience. Mains took too long and were just warm. Some dishes tasted old, like they were microwaved. Drinks were bland. Appetizers were good—crispy calamari and tasty fries with truffle crema. Service was poor; our server ignored us and didn’t check in. Would not recommend or return.",1
"Classic southern bbq is what you'll find at pig out bbq. They've been serving it up since 2012. I shared the 6 rib dinner with a friend which came with a side (aka trimming), coleslaw, pickles and choice of dipping sauce. My side of choice was fries, can't go wrong with fries - they were crispy, a bit oily, made for good bbq eating. Coleslaw and pickles were standard - good but nothing stand out. Can't recall the dipping sauce but I appreciated that there was dipping sauce. The ribs are smoky but I can understand why they came with sauce because they aren't exactly lathered in any. Unlike saucier ribs I've had, these ribs feel a little drier so the sauce helps in that aspect. The meat was delicious and tender but I don't think this is my type of ribs - I guess I'm more of a saucy ribs girl. I would still recommend giving it a try if you'd prefer a smoky, drier rub!","Classic southern BBQ vibe. Shared 6 rib dinner with fries, coleslaw, and pickles. Ribs were smoky and tender, but a bit dry without sauce. Fries were crispy. Not my style of ribs, but would recommend for smoky BBQ lovers.",1
"Ordered the Jr. Pig Out Platter (46.95) which included half rack of ribs, 1 lb wings, 8 oz beef brisket and we chose mac n cheese and sweet potato fries as the 2 'trimmings', the platter also comes with coleslaw. First off, it's a ton of food. Everything is super filling so it's definitely enough for 2-3 people depending on appetite. I really liked the brisket and ribs both were packed with flavor and tender. The wings were ok, I would've liked it to be tossed with more sauce. Mac n cheese and sweet potato fries were very very good. I'm a sucker for good BBQ and this place definitely satisfied my cravings. Highly recommend!","Great BBQ spot. Ordered the Jr. Pig Out Platter for $46.95 - tons of food for 2-3 people. Loved the tender, flavorful brisket and ribs. Wings were just okay, could use more sauce. Mac n cheese and sweet potato fries were very good. Highly recommend!",1
"I decided to try their bbq.

I was hesitant being I am used to southern United States smoked bbq and Toronto is as far north as you can get from Texas.

The meat was a bit dry. I can tell they don't leave their meat wrapped after being cooked. The brisket was cut with the grain which gives it more pull with your teeth vs. being cut against the grain and easy to pull apart.

The ribs were average. 

Across-the-board their meat could use more flavor but it was a filling lunch. 

The mac and cheese was decent. It's not velveeta cheese sauce! 

Last but not least the staff are very friendly.","BBQ was average. Meat a bit dry and lacking flavor. Brisket cut with the grain. Ribs were just okay. Mac and cheese decent, not Velveeta. Friendly staff.",1
"With finals coming up, why not relax by pigging out on some delicious food? Pig Out BBQ is a bbq smokehouse that is located in the heart of UofT, and has been opened since 2014 by owners Chris & John! They serve delicious platters that will definitely get you to pig out and feeling satisfied Honestly, a very nice place to visit for students!

If you're looking to feast with friends, I recommend their Pig Out Platter which contains: Full Rack of Ribs, 2 Smoked Sausages, Pulled Pork, 1lb of Wings, Beef Brisket, Coleslaw and Pickles. Choice of 3 Large Trimmings (Corn Bread, Fries, Baked Beans, Mac n Cheese, Potato Salad, Salads, Nacho Fries, Poutine, and Pulled Pork Poutine) for $74.95 that can serve up to 4-5 people. 

Too much? Fear not, they also have their famous Piglet Platter that is just as delicious and filling. The piglet platter contains: 2 ribs, 4 wings and pork, choice of 1 trimming for $19.95.

They offer 4 different sizes of platters depending on your needs :) I recommend checking this place out if you're in the area!!","Great BBQ spot at UofT. Perfect for students. Loved the Pig Out Platter—huge and satisfying with ribs, wings, and brisket. Good for sharing (serves 4-5). Also try the Piglet Platter, smaller but still filling. Highly recommend!",1
