Input,Restaurant,Platform,Sentiment
"Absolutely delicious! In Toronto for the weekend and so glad we kept checking for reservations. Scored a spot at the bar and was able to sit in the front window. A great way to also watch people on the street.

Things start out with a tasty little amuse bouche - a bit sized cheese bread with jalape�o (I missed the actual description). I wasn't thrilled to order a ""chopped salad"" but this isn't you're average chop - its full of fresh flavor and truly unique. The spicy ceviche was also a top choice since it truly different from any ceviche I've ever had. Certainly no complaints about the truffle gnudi or chickpea fritter either.

Service was incredibly welcoming and walked us through each dish. Will definitely make a stop back on my next trip to try more dishes.",Rasa,Yelp,Positive
"One of my favourite restaurants in Toronto! I've come here a couple times and they nail everything from the food to service, all in a cozy casual atmosphere.

You really can't go wrong with any of their dishes, though there are some standouts for sure including the chopped salad, spicy ceviche, korean inspired burger, chickpea fritter, brussel sprouts, and sticky bun. But really everything is great. On our latest trip I went with a big group and Rasa was super accommodating to every dietary restriction (thanks Paige and Ken!) and everyone was super happy with our dinner.

The food itself is not pretentious at all which I really love - it's simple, quality ingredients, which have been truly elevated. Everything you eat pops with flavours and they do a beautiful job harmonizing different types of flavours together to create explosiveness in every bite.

Can't wait to come back here!",Rasa,Yelp,Positive
"Rasa got a wonderful rustic cabin vibe going, and it pairs well with their flavourful menu.

The ceviche was one of the best I've had; the Thai flavours were perfectly balanced and the seafood was incredibly fresh. And the chickpea fritters were the perfect accompaniment, with just the right amount of crunch and a delicious sauce that had my taste buds dancing with joy. The short rib and sunchokes were delicious, but the beef was definitely a bit overcooked.

The attention to detail in every dish was simply incredible. Each plate was a work of art that tasted just as good as it looked. I could tell that the chefs had put a lot of thought and care into every element, from the presentation to the flavors and textures.

And I have to give a special shoutout to the service team at Rasa. They were attentive, knowledgeable, and genuinely seemed to care about making our dining experience the best it could be.

Overall, I cannot recommend Rasa highly enough. The food is exceptional, the service is outstanding, and the overall experience is definitely well worth your money!",Rasa,Yelp,Positive
"came here to celebrate my birthday. The cocktails are delicious, recommend passionfruit margarita. They are tapas style, the prices may make you think you are getting an entree size but they are meant for sharing and is small portion size. They were accommodating of dietary concern and try their best to work around it or offer you an alternative. The place is packed, very little spacing between tables. I was less than an arm length from the different group next to me, if you get up to use the washroom the other person has to move or you will be touching. it was too close and made everyone in our table and the other table uncomfortable. We ordered a number of items from the menu. Truffle gnudi, steak tartare and duck confit was our favourites. However after we got home we got a stomache, it might have been the tartare, the only person who didnt have the stomache did not have the tartare. I also do not recommend the ceviche, we had high hopes for it, but the fish did not taste right. We were told it's probably the seasoning, but something just was off. A week later, i tried a different restaurant and had their sea bream also saw and it definitely tasted better and not spoiled.
- brussel sprouts $16
- truffle gnudi $24 (there are 4 pieces of ghnochi)
- spicy ceviche $18
- steak tartare $28
- duck confit $28
- rasa burger $21
",Rasa,Yelp,Negative
"2.5 stars - and this review is difficult for me to write because I have tons of mixed feelings about this place.

I was really, really looking forward to going to Rasa and I finally went to have dinner with three other friends. After having a quick look at the different small plates they were offering, we decided to go for ""The Experience"", a special menu that allows you to try 9 of the dishes (they select these for you) for 69 bucks without tax.

The octopus plate and the duck leg really stood out for me - delicious and beautifully presented plates... they really know how to play around with different flavour tones and textures. But overall... the portions felt sooooo wrong. I think going for ""The Experience"" option was our mistake, as we only got 9 very small plates to be shared among the four of us. Is the amount of food they serve not proportional to the amount of people having dinner...?

Basically, we paid around 330 bucks for 9 small plates shared between 4 people - meaning each of them were valued at around 35 dollars. And again, the individual portion was a little bit more than a tablespoon for some of the plates - probably one of the worst size / value ratios I've experienced lately. I think the best option would probably be to order one or two tapas for yourself - the meal will be way more satisfying that way.

Rasa, I think you have an excellent menu and the flavours you're offering are innovative, fresh and great. But please, revise the portions and the value of ""The Experience"" so that people don't feel deceived when they leave.
",Rasa,Yelp,Negative
"A very popular local favourite in the area of Koreatown. The day I went was particularly chilly and the queue wasn't as long but still had to wait around 15 mins as there's very limited seating. We came around 5pm a bit before the dinner rush. They have an extensive menu and we decided to get the hot stone bibimbap, spicy beef soup and the seafood pancake.

Bibimbap: Great sizzling bowl of bibimbap. Their sauce isn't too spicy, more so sweet. The portions for the meat were generous and so were the rest of the toppings.

Yukgaejang: I requested for spice level to be less spicy and it was the perfect amount for me. It was a great soup for the chilly winter day to fill you up. The soup had a lot of flavour and tasted quite delicious. Good amounts of shredded beef.

Seafood pancake: Basically every table had this pancake, so we decided to get the popular appetizer. It's really crispy and had a lot of variety of seafood. The sauce with the pancake was good too. I ended up bringing some home as leftovers.

Delicious food and affordable prices especially in this economy. The restaurant is always busy so expect a wait-time to get seated (especially with large groups the wait will take longer). The service was quite quick and the waitresses were nice. You get a cash discount if you decide to pay in one bill. Overall, I would come back again to try out their other dishes, the only downside is just the wait-time here.",Jin Dal Lae,Yelp,Positive
"one of my go-to eateries in the Korean town
There are a lot of Korean restaurants in Toronto Korean town, why did I like this one over the others? because it is cheap and delicious.
must order: seafood pancake
we have been to this place many times, and this place always has a long lineup during its lunch/dinner time. this place is very small, not so many tables, however, the staff is friendly. it mostly serves home-cooking Korean food.
the portion is good and I really like the seafood pancake, almost every table orders it. also, it has bbq stoves, and apparently, this place is also famous on social media for its Korean bbq. even though i have not tried it, it seems like a good option for a large group.
the wait time would be long if you come in a large group during busy hours.",Jin Dal Lae,Yelp,Positive
"I have high standards for Korean food since I been to Korea, as well I have been eating Korean food my whole life.

Most Korean food places arent as authentic as the ones from Korea but that's understandable.

The food here are very very close to being authentic, one of the best places for Korean food in Toronto. If you go please ask for recommendations.

Price is amazing, it ended being under 20 bucks for 5 of us each. You can't find this fair prices high quality Korean food else where in Toronto.

They don't take reservations, first come first serve. Line ups are longer than an hour during busy hours",Jin Dal Lae,Yelp,Positive
"I had the Sizzing Plate - Beef & Rice Cakes, which came with a side of rice but no side dishes.

The dish tasted so mediocre. It's beef sliced hot pot style stir fried with rice cakes and store bought Korean BBQ sauce. I also didn't feel the Korean BBQ sauce complimented this cut of beef well, given the beef slices were thin and soaked up too much of the sauce. The sauce itself was too sweet.

If you're going to order something at Jin Dal Lae, perhaps don't order the Sizzling Plate",Jin Dal Lae,Yelp,Negative
"VERY Disappointed.
This is an updated review. I would take back my my previous 5-star review posted a year ago.

I placed an order from Ubereats around 7:15pm, then the APP notified me at 8:00pm that the order got cancelled.

During these 45 minutes, I heard NOTHING from the restaurant, not even an Explanation. I wouldn't even find out if it wasn't the app notification. I could have ordered from another restaurant if they told me ahead of time.

I tried twice to call them, and finally the owner picked up the phone said she cancelled it bcuz they were too busy and couldn't prepare my food, not showing a slightest bit of regret that they value their customers. It took them 45 MINUTES to realize that they were too busy to prepare 2 stews and 1 Japchae, what a joke.

I've been to this restaurant since their first day opened, I ate in the restaurant and ordered from ubereats/foodora thousands of times, referred my friends and family to come, rated them high on social media cuz at the beginning they were doing a great job but not many people came and I'd love to see them survive in the neighborhood.

Now I'm really disappointed. Such a waste of time.",Jin Dal Lae,Yelp,Negative
"So flavorful and fresh!

The tacos are expensive but huge - one could be a light meal, two was a little too much, so one plus chips could set you straight.

We ordered one of the yellowfin tuna + shrimp tacos whose name started with a G. It was really interesting because the tuna was ground and tasted almost like pork carnitas... but delicious either way. I also ordered a mushroom and nopal taco which came with guac and a halloumi- esque salty fried cheese to be filling, but I could barely finish it.

The tortilla chips were freshly cooked and flavorful.

Logistics:
- indoor seating only
- CASH ONLY
- limited street parking nearby but transit accessible
- filling vegetarian taco option but not sure if tortillas are corn/GF, need to ask",Seven Lives Tacos y Mariscos,Yelp,Positive
"A Toronto crowd favourite spot for tacos.

When you're in the Kensington Market area, you can't not stop by at Seven Lives, as it's a Toronto staple. Over the years they've moved to a larger space across the street of where they use to be located. The space has ample standing tables, fans, and a bigger space in general for the amount of people that come get tacos here. Their prices have increased quite a bit over the years, as did everything else in this economy now a days. I always opt for their gobernador or fish taco. This time I got their gobernador which is a taco that comes with smoked tuna, grilled shrimps and topped with ooey gooey cheese. You can add your own salsa on the side, they have mild, medium and hot. The gobernador is always a great hit and so tasty - also what they're known for. So definitely give this one a try.

It's quick service/ quick meal, so you're in and out of the taco shop pretty quickly. Every Toronto tourists definitely comes here when they're in town.",Seven Lives Tacos y Mariscos,Yelp,Positive
"It's a shame that it took me years to finally visit this joint, but I'm so glad I did! I was expecting a lot more of a ""hole in the wall"" type of shop, but it's more spacious than I expected. Let's taco 'bout it (sorry for the pun haha):

- Fave tacos were the pollo (chicken) and baja fish. So flavourful, moist, and perfectly balanced with the toppings. Didn't even need to add extra salsa. Baja fish is my standard way of evaluating tacos - this fish was thicc, plump, and perfectly fried with a light batter. The pollo taco was also delicious and practically spilled out of the taco.
- Server recommended the carnitas and gobernador (smoked tuna), but I didn't love these as much. The carnitas were a bit dry, visually very grey, and could've used some more toppings & salsa. The gobernador was flavourful and not fishy at all, but I thought the flavour profile was a bit too flat. The shrimp helped balance it out, but I think I just wanted pico de gallo or crema - something to just brighten it up more.
- Service: quick
- Atmosphere: no seating available, but there's a couple of tall tables/counter space to eat. Can get VERY hectic (so order takeout if you want to eat in more peace). Not the cleanest shop though. Floors were sticky, and because they're so busy, spills/dropped food doesn't get cleaned up that often",Seven Lives Tacos y Mariscos,Yelp,Positive
"Let me start by saying that the Tacos tasted great, but whats the point if you can't even eat them properly?

1) There is no eating space whatsoever, the place has 4 chairs and one table, there is a table on the side which you won't be able to use if your shorter than 5'5 anyways

There are two possible ways of eating these tacos most of the time:
i) Take it outside and eat it standing
Ii) Take it home and eat it there

The expectation is that you either eat it standing while the tacos drip everywhere, or you go home and eat the soggy cold stuff.

2) Cash only, i would have understood if they were just starting out, but they are an established business and I see no reason for them being cash only anymore.

I don't know, i feel old writing this review as these things may have not bothered me in my college days but they are a deal breaker for me now.",Seven Lives Tacos y Mariscos,Yelp,Negative
"You cannot go too wrong with tacos, but this was underwhelming.

Expect a long, semi disorganized line to order and then a long, disorganized wait for your food. They were sold out of stuff when we got there at 2:30 pm. Oddly, they sell guacamole but it does not come with chips. What's the point?

Standing room only to eat there (no seats) and the tacos were nothing special. I don't get the popularity.",Seven Lives Tacos y Mariscos,Yelp,Negative
