Review,Restaurant,Platform,Sentiment
"One of my all time favourite Japanese grill to go, every location I've been to has been clean and welcoming. Atmosphere was lively and the service is quick and orderly. The meat is tender and the cuts fine. Price is fair. Great location.",Gyebee,Google,positive
"For 2 hours, you get to eat everything on the menu! What?! What?! It was delicious! I really enjoyed the soy marinated anything. The chicken thighs were great. The ajillo has an amazing spicy kick. The sauce in the table changed the game of each bite. I highly recommend for the value and taste!",Gyebee,Google,positive
"I had a very frustrating experience at Gyubee due to misleading wait times. We arrived at the restaurant at 6:20 PM and were told it would be about a 60-minute wait. However, after waiting for 2 hours, we were informed we'd need to wait another 20 minutes. While checking the Yelp reservation line, I found out there were still 17 tables ahead of us.
Frustrated, I decided to leave briefly to get cash from an ATM just 5 minutes away. In the span of 2 minutes, I received notifications saying my table was ready and then that I had been removed from the waitlist! I hurried back to the restaurant within 5 minutes and asked why I was removed, only to be told I'd have to wait even longer.
To make matters worse, the front desk staff was very impatient and dismissive the entire time. Their attitude added to an already frustrating experience, making the situation feel even more unwelcoming. We wasted so much time, and I would hesitate to return. If you're planning to visit, be prepared for potential delays and confusion with the waitlist process.",Gyebee,Google,negative
This was my first time trying soft shell crab and it was SO delicious. We loved everything we ordered that day and I'm still thinking about the refreshing pandan cloud drink. Can't wait to go back!!,Dear Saigon,Google,positive
"The food is extremely delicious. I not only fall in love with the nice and lovely design of restaurant, but also the fantastic service from servers. Highly recommend for people who love Vietnamese food ",Dear Saigon,Google,positive
Food was well prepared and tasty. Disappointed that the flan dessert for the Taste of Vietnam set course was served in what looked like a takeout box (even though we were dining in). It’s underwhelming and takes away from the dining experience when they have pretty pictures of food on their Instagram/menus and then the actual presentation doesn’t look anything like it and comes in a takeaway box.,Dear Saigon,Google,negative
Definitely one of my go to places to eat on campus. The portion sizes are big and can be pretty affordable if you go with a friend and get the two pho bowl special. Definitely worth checking out if you’re a UofT student on campus constantly looking for food to eat.,Dear Saigon,Google,positive
"I rarely leave reviews, but the Grilled Chicken + Pork Chop here absolutely deserved it. I have tried similar dishes at various Vietnamese restaurants and this is definitely the top on my list. The Coconut Pandan Latte was also very tasteful and had a perfect level of sweetness.",Dear Saigon,Google,positive
Stopped by here for a quick lunch and was able to get a decent pasta dish with time to spare. Service is attentive. Food was fair. I’d recommend for others looking for a place to have a meal in the area specially on a quick work break where you want to try more than the food court options nearby.,Mercatto,Google,positive
Nice atmosphere and great customer service! Their menus is diverse and portions are not bad. Location is busy during work week and business hours. Not recommended  for drivers as parking could be challenging. Recommended for office lunches and teams gathering,Mercatto,Google,positive
"Today was my first time visiting, and I love this place. The food was great, the server was very kind and I liked the atmosphere the most.
It was a hot day, but the spacious outdoor patio area with the shades and big trees was very cool :)",Mercatto,Google,positive
"Wonderful dinner experience. Our server Damian was knowledgeable and prompt. We had a time crunch and he enabled appetizer, dinner and dessert in less than 50 minutes. Outstanding food.",Mercatto,Google,positive
"We came to Mercatto for a graduation dinner and didn't have the best experience. I wanted to love it but the mains took a long time to arrive, and were only warm when we got them. Some of our party members said their food tasted like it was a day old and it was microwaved. I ordered the sweetened iced tea and lemonade, and it tasted like water with mint. The highlights were the appetizers that we got. The calamari breading was crispy and seasoned well. The fries with truffle crema were great. The service was not good though. Our server didn't ask us how we were doing once the entire meal, or ask if we wanted refills. We had to call him over to order dessert because he didn't come back to the table after we asked for the dessert menus. I saw another patron walk up to him to ask him to attend to their table because he was also ignoring them. I wouldn't go back or recommend this location to anyone.",Mercatto,Google,negative
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
